owner_org,???? Dataset ID,title,????????????? Domain,????????????????? Sub_Domain,???????????????? Data_Entity,???????????????? Related Hazards,???? Sectors,???????????? Temporal Dimension,???????? Time Period,????? Unit,??????????????????? Temporal Resolution,geo_coverage,?????????????????????? Spatial Resolution,data_format,accessible_condition,url,???????? Limitations / Gaps,???????? Remarks,data_source,???????????????? Source_Type,??????????????? Access_Level (2),???????? Remarks (2),data_type,maintainer,maintainer_email,tag_string,notes,objective,update_frequency_unit,update_frequency_interval,data_category,license_id,created_date,last_updated_date,data_support,data_collect,data_language,high_value_dataset,reference_data
DCCE,DCCE_2_1,"??????????? (GridData, historical)",Forward-looking,Climate Driver,CLIMATE_DRIVER,Drought (???????) ,Cross-cutting (????????),Historical,1981-2023,mm,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: GridData · Variable: pr · Scenario: historical,Website Climate Data Visualization,Website,Restricted,,,,,,,,,,,,,,,,,,
DCCE,DCCE_2_10,???????????????? (WRF-Chem),Forward-looking,Climate Driver,CLIMATE_DRIVER,??????? (Drought); ????? (Wildfire),Cross-cutting (????????),Historical; Projected,1981-2014 (historical); 2015-2099 (ssp585),%,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,??????? ssp585,Model/Source: WRF-Chem · Variable: hurs,Website Climate Data Visualization,Website,Restricted,,,,,,,,,,,,,,,,,,
DCCE,DCCE_2_11,"??????????? (RegCM5, EC-Earth3-Veg)",Forward-looking,Climate Driver,CLIMATE_DRIVER,??????? (Flood); ??????? (Drought),Cross-cutting (????????),Historical; Projected,1960-2014 (historical); 2015-2099 (ssp245); 2015-2099 (ssp585),mm,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: RegCM5(Driving Model: EC-Earth3-Veg) · Variable: pr,Website Climate Data Visualization,Website,Restricted,,,,,,,,,,,,,,,,,,
DCCE,DCCE_2_12,"?????????????? (RegCM5, EC-Earth3-Veg)",Forward-looking,Climate Driver,CLIMATE_DRIVER,????????????? (Heat); ??????? (Drought),Cross-cutting (????????),Historical; Projected,1960-2014 (historical); 2015-2099 (ssp245); 2015-2099 (ssp585),°C,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: RegCM5 (EC-Earth3-Veg) · Variable: tasmax,Website Climate Data Visualization,Website,Restricted,,,,,,,,,,,,,,,,,,
DCCE,DCCE_2_13,"?????????????? (RegCM5, EC-Earth3-Veg)",Forward-looking,Climate Driver,CLIMATE_DRIVER,????????????? (Cold spell); ????????????? (Heat),Cross-cutting (????????),Historical; Projected,1960-2014 (historical); 2015-2099 (ssp245); 2015-2099 (ssp585),°C,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: RegCM5 (EC-Earth3-Veg) · Variable: tasmin,Website Climate Data Visualization,Website,Restricted,,,,,,,,,,,,,,,,,,
DCCE,DCCE_2_14,"?????????????? (RegCM5, EC-Earth3-Veg)",Forward-looking,Climate Driver,CLIMATE_DRIVER,Multi-hazard,Cross-cutting (????????),Historical; Projected,1960-2014 (historical); 2015-2099 (ssp245); 2015-2099 (ssp585),°C,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: RegCM5 (EC-Earth3-Veg) · Variable: tas,Website Climate Data Visualization,Website,Restricted,,,,,,,,,,,,,,,,,,
DCCE,DCCE_2_15,"???????????????? (RegCM5, EC-Earth3-Veg)",Forward-looking,Climate Driver,CLIMATE_DRIVER,??????? (Drought); ????? (Wildfire),Cross-cutting (????????),Historical; Projected,1960-2014 (historical); 2015-2099 (ssp245); 2015-2099 (ssp585),%,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: RegCM5 (EC-Earth3-Veg) · Variable: hurs,Website Climate Data Visualization,Website,Restricted,,,,,,,,,,,,,,,,,,
DCCE,DCCE_2_16,"??????????? (Statistical Downscaling, CMIP6)",Forward-looking,Climate Driver,CLIMATE_DRIVER,??????? (Flood); ??????? (Drought),Cross-cutting (????????),Historical; Projected,1981-2014 (historical); 2015-2100 (ssp245); 2015-2100 (ssp585),mm,Daily; Monthly,National,5 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: Statistical Downscaling??? CMIP6 GCMs (ACCESS-CM2; MIROC6; MPI-ESM1-2) · Variable: pr,Website Climate Data Visualization,Website,Restricted,,,,,,,,,,,,,,,,,,
DCCE,DCCE_2_17,"?????????????? (Statistical Downscaling, CMIP6)",Forward-looking,Climate Driver,CLIMATE_DRIVER,????????????? (Heat); ??????? (Drought),Cross-cutting (????????),Historical; Projected,1981-2014 (historical); 2015-2100 (ssp245); 2015-2100 (ssp585),°C,Daily; Monthly,National,5 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: Statistical Downscaling(ACCESS-CM2; MIROC6; MPI-ESM1-2) · Variable: tasmax,Website Climate Data Visualization,Website,Restricted,,,,,,,,,,,,,,,,,,
DCCE,DCCE_2_18,"?????????????? (Statistical Downscaling, CMIP6)",Forward-looking,Climate Driver,CLIMATE_DRIVER,????????????? (Cold spell); ????????????? (Heat),Cross-cutting (????????),Historical; Projected,1981-2014 (historical); 2015-2100 (ssp245); 2015-2100 (ssp585),°C,Daily; Monthly,National,5 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: Statistical Downscaling(ACCESS-CM2; MIROC6; MPI-ESM1-2) · Variable: tasmin,Website Climate Data Visualization,Website,Restricted,,,,,,,,,,,,,,,,,,
