asset_id,asset_title,asset_type,description,format_type,owner_division,owner_email,front_end_url,resource_url,source_catalog,source_group,data_category,update_frequency,objective,tags,geo_coverage,created_date,last_updated
"SYS-001","ศูนย์ข้อมูลด้านการเปลี่ยนแปลงสภาพภูมิอากาศ","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ศูนย์ข้อมูลด้านการเปลี่ยนแปลงสภาพภูมิอากาศ","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://ccic.dcce.go.th/","https://ccic.dcce.go.th/","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-002","ระบบบัญชีข้อมูล (Data Catalog) กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบบัญชีข้อมูล (Data Catalog) กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://dgf.dcce.go.th/","https://dgf.dcce.go.th/","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-003","ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://ccic.dcce.go.th/riskarea","https://ccic.dcce.go.th/riskarea","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-004","ระบบสัมมนาและฝึกอบรมด้านสิ่งแวดล้อม","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบสัมมนาและฝึกอบรมด้านสิ่งแวดล้อม","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://datacenter.dcce.go.th/training","https://datacenter.dcce.go.th/training","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-005","ระบบการเรียนรู้ออนไลน์ (e-Learning)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบการเรียนรู้ออนไลน์ (e-Learning)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://e-learning.dcce.go.th/lrs_deqp/home2","https://e-learning.dcce.go.th/lrs_deqp/home2","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-006","หลักสูตรประกาศนียบัตรธรรมาภิบาลสิ่งแวดล้อมสำหรับนักบริหารระดับสูง (ปธส.)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: หลักสูตรประกาศนียบัตรธรรมาภิบาลสิ่งแวดล้อมสำหรับนักบริหารระดับสูง (ปธส.)","Web Page","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","","","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-007","เมืองสิ่งแวดล้อมยั่งยืน (SAR)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: เมืองสิ่งแวดล้อมยั่งยืน (SAR)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://sar.dcce.go.th/","https://sar.dcce.go.th/","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-008","ระบบพื้นที่สีเขียวในเขตเมืองและชุมชน (Green Area)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบพื้นที่สีเขียวในเขตเมืองและชุมชน (Green Area)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://greenarea.dcce.go.th/landing_page_mini_site/","https://greenarea.dcce.go.th/landing_page_mini_site/","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-009","ระบบบันทึกข้อมูลการจัดการขยะ (Data Trash)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบบันทึกข้อมูลการจัดการขยะ (Data Trash)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","http://datatrash.dcce.go.th/intro","http://datatrash.dcce.go.th/intro","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-010","ระบบจัดเก็บพลังงานและของเสีย (Energy and Waste)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบจัดเก็บพลังงานและของเสีย (Energy and Waste)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://energyandwaste.dcce.go.th/","https://energyandwaste.dcce.go.th/","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-011","ระบบรายงานจุดตรวจวัดคุณภาพสิ่งแวดล้อม (Monitor)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบรายงานจุดตรวจวัดคุณภาพสิ่งแวดล้อม (Monitor)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","http://monitor.dcce.go.th/","http://monitor.dcce.go.th/","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-012","ระบบงานเครือข่าย ทสม. เครือข่ายอาสาสมัครพิทักษ์ทรัพยากรธรรมชาติและสิ่งแวดล้อมหมู่บ้าน","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบงานเครือข่าย ทสม. เครือข่ายอาสาสมัครพิทักษ์ทรัพยากรธรรมชาติและสิ่งแวดล้อมหมู่บ้าน","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://datacenter.dcce.go.th/nevt/home","https://datacenter.dcce.go.th/nevt/home","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-013","ระบบงานบุคคลและองค์การเอกชนด้านสิ่งแวดล้อม (NGOs)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบงานบุคคลและองค์การเอกชนด้านสิ่งแวดล้อม (NGOs)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://datacenter.dcce.go.th/ngos/","https://datacenter.dcce.go.th/ngos/","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-014","โรงเรียนอีโคสคูล (Eco School)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: โรงเรียนอีโคสคูล (Eco School)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://ecoschool.dcce.go.th/","https://ecoschool.dcce.go.th/","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-015","ระบบบริการข้อมูลการผลิต การบริการ และการบริโภคที่เป็นมิตรกับสิ่งแวดล้อม (SCP)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ระบบบริการข้อมูลการผลิต การบริการ และการบริโภคที่เป็นมิตรกับสิ่งแวดล้อม (SCP)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","http://scpallgreen.dcce.go.th/","http://scpallgreen.dcce.go.th/","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-016","มหิงสาสายสืบ","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: มหิงสาสายสืบ","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://mahingsa.dcce.go.th/","https://mahingsa.dcce.go.th/","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-017","โรงแรมที่เป็นมิตรกับสิ่งแวดล้อม (Green Hotel)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: โรงแรมที่เป็นมิตรกับสิ่งแวดล้อม (Green Hotel)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://greenhotelthai.com/th/%20","https://greenhotelthai.com/th/%20","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-018","ร้านอาหารที่เป็นมิตรกับสิ่งแวดล้อม (Green Restaurant)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ร้านอาหารที่เป็นมิตรกับสิ่งแวดล้อม (Green Restaurant)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://scpallgreen.dcce.go.th/project_detail.php?id=6","https://scpallgreen.dcce.go.th/project_detail.php?id=6","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-019","สำนักงานสีเขียว (Green Office) ระดับประเทศ","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: สำนักงานสีเขียว (Green Office) ระดับประเทศ","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://scpallgreen.dcce.go.th/project_detail.php?id=3","https://scpallgreen.dcce.go.th/project_detail.php?id=3","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-020","สถานประกอบการที่มีการผลิตที่เป็นมิตรกับสิ่งแวดล้อม (Green Production)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: สถานประกอบการที่มีการผลิตที่เป็นมิตรกับสิ่งแวดล้อม (Green Production)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://scpallgreen.dcce.go.th/project_detail.php?id=1","https://scpallgreen.dcce.go.th/project_detail.php?id=1","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-021","อุทยานแห่งชาติสีเขียว (Green National Park)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: อุทยานแห่งชาติสีเขียว (Green National Park)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://scpallgreen.dcce.go.th/project_detail.php?id=4","https://scpallgreen.dcce.go.th/project_detail.php?id=4","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-022","ที่อยู่อาศัยที่เป็นมิตรกับสิ่งแวดล้อม (Green Residence)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: ที่อยู่อาศัยที่เป็นมิตรกับสิ่งแวดล้อม (Green Residence)","Web Page","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","","","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-023","การดำเนินงานด้านสิ่งแวดล้อม กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: การดำเนินงานด้านสิ่งแวดล้อม กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม","Web Page","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","","","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-024","การเปิดโอกาสให้เกิดการมีส่วนร่วม","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: การเปิดโอกาสให้เกิดการมีส่วนร่วม","Web Page","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","","","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"SYS-025","โครงการโรงแรมที่เป็นมิตรกับสิ่งแวดล้อมยั่งยืน (Green Hotel Plus)","Data Product","ระบบสารสนเทศ/บริการอิเล็กทรอนิกส์ DCCE: โครงการโรงแรมที่เป็นมิตรกับสิ่งแวดล้อมยั่งยืน (Green Hotel Plus)","Web Application","กลุ่มพัฒนาเทคโนโลยีดิจิทัล","","https://scpallgreen.dcce.go.th/project_detail.php?id=19","https://scpallgreen.dcce.go.th/project_detail.php?id=19","Sitemap (DCCE Website)","สารสนเทศ DCCE","ข้อมูลสาธารณะ","","เพื่อการให้บริการประชาชน, พันธกิจหน่วยงาน","","ประเทศ","",""
"PUB-001","แผนแม่บทรองรับการเปลี่ยนแปลงสภาพภูมิอากาศ พ.ศ. 2558 – 2593","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดนโยบายและยุทธศาสตร์","Document","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/3353/","https://www.dcce.go.th/wp-content/uploads/2025/02/แผนแม่บทรองรับการเปลี่ยนแปลงสภาพภูมิอากาศ-2558-2593.pdf","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > นโยบายและยุทธศาสตร์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-002","นโยบายและการดำเนินงานตาม ข้อ 6 ของความตกลงปารีส (Article 6 of Paris Agreement)","Knowledge Asset","Related Documents Thailand Article 6","Document","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/5298/","https://www.dcce.go.th/wp-content/uploads/2025/04/Thailands-Article-6-paragraph-2-Initial-report.pdf","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > นโยบายและยุทธศาสตร์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-003","สรุป สาระสำคัญของร่างพระราชบัญญัติการเปลี่ยนแปลงสภาพภูมิอากาศ พ.ศ. ...","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดพ.ร.บ. การเปลี่ยนแปลงสภาพภูมิอากาศ","Document","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/3350/","https://www.dcce.go.th/wp-content/uploads/2025/02/สรุปสาระสำคัญ-พรบ.-การเปลี่ยนแปลงสภาพภูมิอากาศ.pdf","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > พ.ร.บ. การเปลี่ยนแปลงสภาพภูมิอากาศ","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-004","ร่างพระราชบัญญัติการเปลี่ยนแปลงสภาพภูมิอากาศ พ.ศ. ...","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดพ.ร.บ. การเปลี่ยนแปลงสภาพภูมิอากาศ","Document","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/3345/","https://www.dcce.go.th/wp-content/uploads/2025/02/ร่าง-พ.ร.บ.-การเปลี่ยนแปลงสภาพภูมิอากาศ-พ.ศ.-.pdf","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > พ.ร.บ. การเปลี่ยนแปลงสภาพภูมิอากาศ","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-005","NDC Action Plan on Mitigation 2021 – 2030","Knowledge Asset","แผนปฏิบัติการด้านการลดก๊าซเรือนกระจกของประเทศ ปี พ.ศ. 2564 – 2573 (ค.ศ. 2021 – 2030) จัดทำขึ้นเพื่อเป็นกรอบการดำเนินงานด้านการลดก๊าซเรือนกระจกของประเทศรายสาขา สอดคล้องตามการมีส่วนร่วมที่ประเทศกำหนด (Nationally Determined Contribution : NDC) มีเป้าประสงค์ในการบรรลุเป้าหมายการลดก๊าซเรือนกร","Document","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/653/","https://www.dcce.go.th/wp-content/uploads/2025/03/E-Book_แผนปฏิบัติการด้านการลดก๊าซเรือนกระจก-2025.04.26-.pdf","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > แผนปฏิบัติการลดก๊าซเรือนกระจกของประเทศ","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-006","NDC Action Plan on Mitigation","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดแผนปฏิบัติการลดก๊าซเรือนกระจกของประเทศ","Web Page","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/651/","https://www.dcce.go.th/datacenter/651/","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > แผนปฏิบัติการลดก๊าซเรือนกระจกของประเทศ","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-007","รายงานความโปร่งใสรายสองปี ฉบับที่ 1 (Thailand’s First Biennial Transparency Report : BTR1)","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","Document","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/6827/","https://www.dcce.go.th/wp-content/uploads/2024/12/Submitted-1st-BTR_compressed-1.pdf","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-008","รายงานความโปร่งใสรายสองปี ฉบับที่ 1 (Thailand Biennial Transparency Report : BTR1) ฉบับประชาชน","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","Document","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/6821/","https://www.dcce.go.th/wp-content/uploads/2025/03/รายงานความโปร่งใสรายสองปี-ฉบับที่-1-BTR1-ฉบับประชาชน.pdf","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-009","แผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศแห่งชาติ (Thailand's National Adaptation Plan : NAP)","Knowledge Asset","แผน NAP เป็นกรอบแนวทางสำคัญในการเสริมสร้างภูมิคุ้มกันให้ประเทศ พร้อมรับมือกับผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ และมุ่งสู่การพัฒนาที่ยั่งยืน ครอบคลุม 6 ด้านสำคัญ ได้แก่ 💧 การจัดการทรัพยากรน้ำ 🌾 เกษตรและความมั่นคงทางอาหาร 🏖️ การท่องเที่ยว 🏥 สาธารณสุข 🌿 การจัดการทรัพยา","Web Page","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/6553/adaptation/national-adaptation-plan-nap-2568/","https://www.dcce.go.th/datacenter/6553/adaptation/national-adaptation-plan-nap-2568/","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-010","ระบบฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงภูมิอากาศ","Knowledge Asset","ระบบฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงภูมิอากาศ โดย กองขับเคลื่อนการเปรับตัวต่อการเปลี่ยนแหลงสภาพภูมิอากาศ","Web Page","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/19250/","https://www.dcce.go.th/datacenter/19250/","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-011","วารสารด้านการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","Web Page","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/22750/","https://www.dcce.go.th/datacenter/22750/","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-012","คู่มือการจัดทำห่วงโซ่ผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ","Knowledge Asset","คู่มือการจัดทำห่วงโซ่ผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ จัดทำโดย กองขับเคลื่อนการปรับตัวจากการเปลี่ยนแปลงสภาพภูมิอากาศ /กลุ่มวิเคราะห์ความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ เผยแพร่เมื่อธันวาคม 2567 ประเภทสื่อ: สื่อสิ่งพิมพ์ / คู่มือ","Document","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/19243/","https://www.dcce.go.th/media/5075/?download_file=1&file_id=5076","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-013","COP 30","Knowledge Asset","ธรรมชาติและอาหาร: ปกป้องป่าเขตร้อนและการเกษตรยุคใหม่ การประชุม COP30 ในภูมิภาคแอมะซอนเน้นย้ำความสำคัญของการคุ้มครองธรรมชาติอย่างไม่เคยมีมาก่อน โดยเปิดตัวกองทุนเพื่อป่าเขตร้อนตลอดกาล (Tropical Forest Forever Facility – TFFF) ด้วยเงินตั้งต้น 5,500 ล้านดอลลาร์ ตั้งเป้าระดมให้ถึง 1.25 หมื่นล้าน","Web Page","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/14682/","https://www.dcce.go.th/datacenter/14682/","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > การประชุมด้านสภาพภูมิอากาศโลก","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"PUB-014","COP 29","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดการประชุมด้านสภาพภูมิอากาศโลก","Document","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","","https://www.dcce.go.th/datacenter/3356/","https://www.dcce.go.th/wp-content/uploads/2025/02/COP29-Interactive-Screen.pdf","Sitemap (DCCE Website)","ศูนย์ข้อมูลกลาง > การประชุมด้านสภาพภูมิอากาศโลก","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
